epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,7911.49,1.12863,0.82077,0.00739,0.82008,0.75678,0.83548,0.57976,1.13357,1.08272,0.00759,0.000693305,0.000693305,0.000693305
61,8044.19,1.12584,0.86284,0.0075,0.857,0.74995,0.84867,0.59971,1.12922,1.06847,0.00764,0.000676802,0.000676802,0.000676802
62,8175.01,1.1376,0.83252,0.00718,0.83112,0.74808,0.84214,0.58946,1.13559,1.13833,0.00773,0.000660299,0.000660299,0.000660299
63,8307.64,1.12015,0.81325,0.00727,0.80344,0.77689,0.84047,0.58593,1.13319,1.0089,0.00758,0.000643795,0.000643795,0.000643795
64,8439.27,1.12369,0.81372,0.00728,0.78124,0.78372,0.82914,0.58962,1.12516,1.08332,0.00767,0.000627292,0.000627292,0.000627292
65,8572.13,1.11943,0.81137,0.00712,0.81909,0.79551,0.85023,0.60725,1.13314,1.00906,0.00774,0.000610789,0.000610789,0.000610789
66,8705.74,1.0877,0.76949,0.00715,0.8304,0.79548,0.85501,0.6073,1.13841,0.94319,0.00771,0.000594286,0.000594286,0.000594286
67,8838.21,1.08802,0.77802,0.00708,0.86078,0.7669,0.86026,0.60527,1.13138,1.04251,0.00771,0.000577782,0.000577782,0.000577782
68,8968.65,1.08774,0.79654,0.00695,0.85964,0.7637,0.85676,0.60002,1.11634,0.99238,0.00744,0.000561279,0.000561279,0.000561279
69,9100.47,1.0747,0.77436,0.0069,0.84906,0.80242,0.86544,0.61278,1.11417,0.95397,0.00755,0.000544776,0.000544776,0.000544776
70,9232,1.10024,0.76523,0.00696,0.85033,0.78942,0.86216,0.60449,1.14986,1.11199,0.00804,0.000528272,0.000528272,0.000528272
71,9362.8,1.06959,0.74398,0.00684,0.8215,0.79776,0.85604,0.60594,1.13764,0.98644,0.00763,0.000511769,0.000511769,0.000511769
72,9494.03,1.0665,0.73602,0.00661,0.84587,0.80742,0.8658,0.62403,1.09563,1.03478,0.00715,0.000495266,0.000495266,0.000495266
73,9627.16,1.08803,0.75741,0.00694,0.83276,0.80114,0.86515,0.61724,1.11382,1.1817,0.00745,0.000478762,0.000478762,0.000478762
74,9757.98,1.05579,0.72593,0.0067,0.82573,0.81085,0.86383,0.61893,1.11455,1.10592,0.00752,0.000462259,0.000462259,0.000462259
75,9889.27,1.06169,0.72115,0.0067,0.86068,0.78254,0.86432,0.62346,1.15023,1.02432,0.00748,0.000445756,0.000445756,0.000445756
76,10021.3,1.05157,0.70872,0.00669,0.85377,0.7964,0.86867,0.61967,1.10407,1.06077,0.00732,0.000429253,0.000429253,0.000429253
77,10152.7,1.03275,0.72594,0.00681,0.85447,0.78541,0.86685,0.61812,1.10257,1.02406,0.00718,0.000412749,0.000412749,0.000412749
78,10283.9,1.02343,0.68434,0.00654,0.87575,0.79997,0.87589,0.62475,1.11935,0.975,0.00732,0.000396246,0.000396246,0.000396246
79,10412.8,1.04136,0.67156,0.00634,0.84662,0.80487,0.86815,0.62805,1.11053,1.01009,0.00706,0.000379743,0.000379743,0.000379743
80,10543.5,1.0409,0.70597,0.00654,0.87297,0.80487,0.87368,0.63127,1.10689,1.03498,0.00721,0.000363239,0.000363239,0.000363239
81,10676.1,1.0372,0.68392,0.00634,0.84512,0.81778,0.87681,0.6267,1.10653,0.92338,0.00719,0.000346736,0.000346736,0.000346736
82,10807.6,1.04496,0.69684,0.00658,0.87439,0.78447,0.87193,0.63137,1.14403,0.92545,0.0076,0.000330233,0.000330233,0.000330233
83,10939.6,1.01658,0.67112,0.00639,0.84012,0.8131,0.86844,0.62769,1.1415,0.99126,0.00745,0.000313729,0.000313729,0.000313729
84,11068.7,1.02644,0.65932,0.00634,0.87181,0.79177,0.87379,0.63264,1.12253,1.01698,0.00726,0.000297226,0.000297226,0.000297226
85,11199.7,1.00774,0.67451,0.00626,0.85066,0.79046,0.86711,0.63232,1.11322,0.96308,0.00744,0.000280723,0.000280723,0.000280723
86,11330.2,0.99213,0.65525,0.00601,0.86348,0.79908,0.86988,0.63488,1.12404,0.94745,0.00737,0.00026422,0.00026422,0.00026422
87,11461.3,0.9953,0.62549,0.0062,0.86278,0.80245,0.87837,0.6373,1.11389,0.98051,0.0073,0.000247716,0.000247716,0.000247716
88,11591.5,0.98949,0.63872,0.00598,0.84616,0.79955,0.86913,0.63468,1.13299,1.05071,0.00749,0.000231213,0.000231213,0.000231213
89,11726.3,1.01038,0.64928,0.00626,0.86923,0.80077,0.8759,0.63802,1.12483,0.97724,0.00736,0.00021471,0.00021471,0.00021471
90,11860.1,0.97413,0.62218,0.0059,0.86407,0.80225,0.87326,0.64006,1.10352,0.95228,0.00723,0.000198206,0.000198206,0.000198206
91,11994.5,0.93149,0.49845,0.00614,0.86955,0.80009,0.87463,0.63237,1.0919,0.90242,0.00706,0.000181703,0.000181703,0.000181703
92,12128.1,0.93913,0.51422,0.00617,0.85167,0.80468,0.87805,0.63677,1.10267,0.96536,0.00725,0.0001652,0.0001652,0.0001652
93,12257.5,0.91822,0.49426,0.00603,0.86361,0.792,0.87577,0.64101,1.10193,0.97531,0.00717,0.000148696,0.000148696,0.000148696
94,12390.5,0.9182,0.49124,0.00584,0.86769,0.79514,0.87422,0.63777,1.10413,0.96195,0.00717,0.000132193,0.000132193,0.000132193
95,12520.6,0.92354,0.48297,0.00595,0.85571,0.80073,0.87715,0.64246,1.09078,0.99798,0.00687,0.00011569,0.00011569,0.00011569
96,12649.4,0.9274,0.48465,0.00603,0.86212,0.79717,0.87928,0.64276,1.08894,0.97505,0.007,9.91865e-05,9.91865e-05,9.91865e-05
97,12781.1,0.9129,0.48658,0.00611,0.83754,0.82164,0.87556,0.64147,1.09805,0.98015,0.00706,8.26832e-05,8.26832e-05,8.26832e-05
98,12912,0.90125,0.48098,0.00572,0.86272,0.80431,0.87704,0.64284,1.08126,0.9945,0.00697,6.61799e-05,6.61799e-05,6.61799e-05
99,13043.6,0.88883,0.4507,0.00582,0.84506,0.81567,0.87231,0.6389,1.07809,0.9934,0.00697,4.96766e-05,4.96766e-05,4.96766e-05
100,13173.1,0.90155,0.47072,0.00571,0.86494,0.7973,0.87102,0.63979,1.09059,0.9859,0.00702,3.31733e-05,3.31733e-05,3.31733e-05
