epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2798.46,1.0533,0.64051,0.00606,0.83792,0.80748,0.87242,0.64349,1.1303,1.01078,0.00744,0.000363239,0.000363239,0.000363239
81,2832.14,1.04692,0.6471,0.00596,0.85693,0.80973,0.8755,0.64739,1.12928,0.99333,0.0075,0.000346736,0.000346736,0.000346736
82,2865.33,1.02581,0.61136,0.00589,0.82967,0.83256,0.8784,0.64869,1.12038,0.95465,0.00752,0.000330233,0.000330233,0.000330233
83,2898.83,1.0225,0.62894,0.00591,0.83606,0.8072,0.86953,0.63927,1.15467,0.96151,0.00778,0.000313729,0.000313729,0.000313729
84,2933.08,1.02772,0.60646,0.00587,0.83903,0.81049,0.87399,0.6508,1.14054,0.97667,0.00764,0.000297226,0.000297226,0.000297226
85,2966.64,1.02663,0.61653,0.00602,0.83536,0.82021,0.87629,0.64761,1.12845,0.97673,0.00742,0.000280723,0.000280723,0.000280723
86,3000.56,1.0298,0.6321,0.00598,0.86205,0.80272,0.87705,0.65398,1.12105,0.95429,0.00741,0.00026422,0.00026422,0.00026422
87,3035.03,1.01341,0.61837,0.00567,0.83135,0.82436,0.87677,0.64746,1.11693,0.96282,0.00729,0.000247716,0.000247716,0.000247716
88,3069.28,1.01593,0.61311,0.0059,0.84918,0.80453,0.88011,0.64874,1.11262,0.96433,0.00729,0.000231213,0.000231213,0.000231213
89,3104,1.01716,0.61127,0.00573,0.88888,0.771,0.87716,0.64973,1.11642,0.95927,0.00735,0.00021471,0.00021471,0.00021471
90,3138.52,1.01538,0.60603,0.00588,0.85104,0.81235,0.87835,0.65412,1.12517,0.95474,0.00748,0.000198206,0.000198206,0.000198206
91,3173.33,0.97297,0.5226,0.00616,0.82836,0.83312,0.88002,0.64951,1.12646,0.97323,0.00734,0.000181703,0.000181703,0.000181703
92,3207.01,0.97076,0.50291,0.00595,0.86783,0.8015,0.88108,0.6486,1.11487,0.97996,0.00705,0.0001652,0.0001652,0.0001652
93,3240.41,0.9653,0.50359,0.00601,0.83964,0.83155,0.87999,0.65004,1.11433,0.96289,0.00727,0.000148696,0.000148696,0.000148696
94,3273.92,0.97231,0.4967,0.00602,0.85915,0.8241,0.88329,0.65537,1.12258,0.94861,0.00737,0.000132193,0.000132193,0.000132193
95,3307.3,0.96942,0.50656,0.00604,0.83618,0.82035,0.88013,0.65768,1.1169,0.97332,0.00737,0.00011569,0.00011569,0.00011569
96,3341.01,0.95701,0.50006,0.006,0.85639,0.80554,0.87977,0.65625,1.12007,0.97858,0.0073,9.91865e-05,9.91865e-05,9.91865e-05
97,3374.59,0.93496,0.49367,0.00588,0.82351,0.84084,0.88388,0.65411,1.12931,0.98695,0.00749,8.26832e-05,8.26832e-05,8.26832e-05
98,3408.02,0.9532,0.50085,0.00596,0.86806,0.80247,0.88366,0.65622,1.12166,0.97641,0.00735,6.61799e-05,6.61799e-05,6.61799e-05
99,3441.24,0.94637,0.5018,0.00594,0.86639,0.80857,0.88306,0.65967,1.12964,0.97437,0.00745,4.96766e-05,4.96766e-05,4.96766e-05
100,3475.42,0.93406,0.48715,0.00581,0.87184,0.80464,0.88543,0.66035,1.13067,0.97544,0.00746,3.31733e-05,3.31733e-05,3.31733e-05
