epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4811.47,0.93459,0.53034,0.00525,0.85721,0.8269,0.88932,0.66369,1.10287,1.07545,0.00718,0.00021471,0.00021471,0.00021471
90,4868.06,0.9375,0.53327,0.00544,0.87279,0.82854,0.89346,0.6676,1.10349,1.06022,0.00728,0.000198206,0.000198206,0.000198206
91,4924.59,0.89986,0.4565,0.00572,0.86204,0.82973,0.88704,0.66093,1.09576,1.08736,0.00709,0.000181703,0.000181703,0.000181703
92,4995.37,0.89656,0.44064,0.00561,0.85621,0.82223,0.88672,0.65861,1.10142,1.07873,0.00712,0.0001652,0.0001652,0.0001652
93,5055.58,0.90277,0.44065,0.00584,0.8654,0.82358,0.88262,0.66076,1.08508,1.08769,0.00698,0.000148696,0.000148696,0.000148696
94,5125.6,0.89166,0.42429,0.00554,0.85296,0.83742,0.88614,0.66316,1.07569,1.09939,0.00678,0.000132193,0.000132193,0.000132193
95,5210.54,0.90276,0.44113,0.0057,0.85288,0.83893,0.88621,0.66769,1.07659,1.1254,0.00683,0.00011569,0.00011569,0.00011569
96,5294.52,0.88402,0.42978,0.00555,0.85837,0.82299,0.88199,0.66727,1.08809,1.09295,0.0069,9.91865e-05,9.91865e-05,9.91865e-05
97,5379.49,0.87002,0.42173,0.00549,0.88973,0.80262,0.88739,0.66801,1.0747,1.1352,0.00677,8.26832e-05,8.26832e-05,8.26832e-05
98,5468.79,0.87616,0.42571,0.00551,0.87104,0.81598,0.88503,0.67065,1.09265,1.12748,0.007,6.61799e-05,6.61799e-05,6.61799e-05
99,5556.64,0.86858,0.43396,0.00561,0.85767,0.82412,0.88118,0.66895,1.08831,1.14363,0.00692,4.96766e-05,4.96766e-05,4.96766e-05
100,5647.55,0.86038,0.41599,0.0054,0.85606,0.82471,0.88487,0.67057,1.08503,1.14294,0.00697,3.31733e-05,3.31733e-05,3.31733e-05
